标题,内容,时间
莘莘学子“下乡去” 深深感受“扶贫果”,7月26日，管理系“三下乡”服务队到荔波县水利村大寨开展“服务旅游扶贫，助力乡村振兴”社会实践调研活动，深入了解党的脱贫攻坚的惠民政策，感受新时代下党和政府带领劳动人民奔小康的扶贫成果。在水利大寨门口，脱贫攻坚队队长罗平书记热情接待“三下乡”服务队的到...,2020/7/27
学院顺利举行2020年度“1+X”证书全省首场考试,为贯彻《国家职业教育改革实施方案》精神， 结合“1+X”证书制度职业技能等级考评工作，学院按照贵州省教育厅兴黔富民行动计划工作部署，于7月12日-7月16日，在汽车工程系顺利实施2020年度全省首场“1+X”汽车电子电气与空调舒适系统技术（中级）认证考试工作。饶辉院长...,2020/7/13
大数据与电子商务系学生党支部开展“庆祝中国共产党建党99周年活动座谈会”主题党日活动,为切实开展好庆祝中国共产党建党99周年活动，回顾党的光辉历程，讴歌党的丰功伟绩，进一步激发基层党组织活力，提高党组织的战斗力和凝聚力，增强广大党员和师生的荣誉感和责任感，全力推进学院“双高”建设，6月30日，大数据与电子商务系学生党支部召开了“庆祝中国共...,2020/7/1
院机关三支部组织开展《贵州省高校教师师德失范行为处理办法（试行）》学习活动,为深入贯彻落实全国、全省教育大会精神，扎实推进《中共贵州省委贵州省人民政府关于全面深化新时代教师队伍建设改革的实施意见》的落实，进一步加强党支部教师师德师风建设，近日，院机关第三党支部全体党员在知行楼创优办会议室召开学习会议。本次会议认真学习了《贵州...,2020/6/18
现代山地农业工程系召开第二批学生返校复学工作部署会,"5月28日，现代山地农业工程系立即在知行楼六楼会议室召开第二批学生返校复学工作部署会。会上，系总支书记朱永毅传达学院关于第二批学生返校复学工作的有关精神,总结第一批学生返校后存在的问题，要求各班主任做好学生的引导教育工作。根据学院相关工作安排，对第二批学...",2020/5/29
韦永革副书记到现代山地农业工程系指导复学复课工作部署会议,为了有序、规范、安全地做好复学复课工作，现代山地农业工程系于5月19日上午召开了新学期工作部署会议，韦永革副书记莅临指导，全体教职工参加本次会议，会议由系主任范大有主持。会上，总支书记朱永毅指出疫情之下教师和学生应严格遵守工作纪律，服从工作安排，全体教...,2020/5/20
州委书记唐德智就刘道敏入围2020年“全国向上向善好青年”作重要批示,4月24日，州委书记唐德智在学院呈报的《黔南职院学子刘道敏入围2020年“全国向上向善好青年”》专报中作出重要批示。批示指出：学校要教书更要育人，培养出这样的好青年，说明学校和老师们的心血有了成果；培养了这样的好青年，我们就要树立这个好榜样，鼓励更多的青年...,2020/4/25
学院党委组织开展国家安全教育日网上答题活动,4月15日，依照学院党委安排，在第五个国家安全教育日来临之际，机关三支部借助微信平台开展“2020年全民国家安全教育日答题活动”，组织全体党员参与安全教育。4月15日上午，支部书记邹林组织支部全体党员干部积极参与国家安全教育日网上答题，对测试的内容进行了学习。...,2020/4/16
黔南职院发挥人才优势 为企业复工复产精准发力,按照国家和省、州关于在做好疫情防控前提下全力支持各类企业复工复产的相关部署要求，结合“贵州省职业教育兴黔富民行动计划”，学院多措并举全面助力都匀市装备制造企业、道路运输企业、汽车流通企业复工复产，学院领导亲自挂帅，汽车工程系组织黔南州先进装备制造协同...,2020/3/26
抗击疫情在行动——大数据系谭肸昊同学主动投身志愿服务工作,在新型冠状病毒肺炎疫情防控关键时期，大数据与电子商务系的学生们主动作为，迅速参与到抗击疫情的服务工作中，用实际行动展现了我黔南职院学学子积极担当的当代大学生风采。谭肸昊就是众多疫情防控学生志愿者中的一员。近日，谭肸昊同学的光荣事迹也被“学习强国”平台...,2020/2/21
我院教师决战疫情一线  守护扶贫成果,三都水族自治县是我国深度贫困县，也是学院党建扶贫帮扶点。2019年12月，在各级党委政府的关心支持下，该县脱贫出列，创下了西部欠发达少数民族地区脱贫摘帽同步小康的奇迹。新年伊始，新型冠状病毒感染的肺炎疫情席卷而来，全国各地疫情防控形势严峻。疫情就是命令，防...,2020/2/5
省委第八巡回指导组对黔南职院“不忘初心、牢记使命”主题教育开展评估座谈,12月26日上午，“中共黔南民族职业技术学院委员会‘不忘初心、牢记使命’主题教育评估座谈会”在学院知行楼六楼道德讲堂和第二会议室举行。学院党委书记罗俊，党委副书记、院长饶辉，党委副书记、纪委书记胡成林，副院长金焱、王焱，党委委员张泽宽，省委第八巡回指导组...,2019/12/27
第三期团校“青春闪光”学生干部培训提高班结业典礼圆满结束,为加强我院学生干部的队伍建设，明确学生干部对今后工作的发展方向，进一步提高学生干部的专项管理素质。在学院领导的亲切关怀下和授课老师们的共同努力下，经过一个多月的培训，按计划圆满完成了此次团校培训课程。12月12日，第三期团校“青春闪光”学生干部培训提高班...,2019/12/13
院学子喜获第八届全国高等院校建筑软件技能认证大赛二、三等奖,11月23日至24日，第八届全国高等院校建筑软件技能认证大赛网络赛顺利落下帷幕。学院建筑工程技术和工程造价专业组建三支代表队经过两天各3个小时的激烈角逐，学院量建队、无量队分获BIM5D比赛项目二等奖、三等奖，学院量建队还获云计价比赛项三等奖。其中，在BIM5D团队...,2019/11/25
学院举行2019年第二届心理嘉年华系列活动启动仪式,为进一步增强学生心理健康意识，普及心理健康知识，营造积极健康的校园心理文化氛围，提升学生心理素质，11月14日下午，学院学生处心理健康教育与咨询中心举办2019年度第二届心理嘉年华系列活动启动仪式。学院党委副书记韦永革，大数据系与电子商务系党总支书记石铃林，...,2019/11/15
汽车工程系举行信息化教学课程建设培训,为全面提升教师信息化教学手段，进一步促进信息化课程建设，逐步实现信息化教学的常态化，11月5日，汽车工程系组织召开了教师信息化教学课程设计能力培训会。培训会邀请了超星集团技术人员为教师讲解如何使用超星平台建设课程。会上，王黔主任表示，信息化教学手段已经...,2019/11/5
会计系党总支主题党日活动,10月27日晚，黔南州教育系统“不忘初心、牢记使命”主题教育先进典型宣讲报告会在黔南州交通局多功能报告厅拉开帷幕。报告会主要介绍了韦自才、胡先运、周贤怡、吴万辉四位教师的先进典型事迹。学院会计系党总支派出四名教师代表参会。韦自才、胡先运、周贤怡、吴万辉四...,2019/10/28
做好调查研究 提升服务质量,对高职院校而言，开展“不忘初心，牢记使命”主题教育，出发点和落脚点就是要办好党和人民满意的教育，培养社会主义现代化建设的合格建设者和可靠接班人。按照这个目标任务，建筑系在院党委委员、教务处长张泽宽同志牵头下，由系党总支组织安排，于10月22日下午在该系召...,2019/10/23
践行初心使命  决战脱贫攻坚,10月14日，学院党委班子成员在党委书记罗俊带领下到三都县中和镇新阳村开展“不忘初心、牢记使命”主题教育宣讲和产业帮扶。在新阳村委，罗俊书记结合“不忘初心、牢记使命”主题教育作了宣讲。罗俊书记强调，新阳村是深度贫困村，当前最大的政治任务是决战脱贫攻坚，落...,2019/10/15
关注民生守初心  产业帮扶促发展,为扎实推进“不忘初心，牢记使命”主题教育，落实院党委书记罗俊8月中旬到帮扶联系点三都县中和镇开展调研时提出关于加大产业帮扶、发展林下养鸡产业、精准打好助推脱贫攻坚战要求，9月23日，党委副书记、院长饶辉，副院长王焱及专家技术人员到三都县中和镇水龙社区独寨...,2019/9/24
学院喜获贵州省民族团结进步创建工作示范学校,9月16日，从多彩贵州网获悉，2019年贵州省民族团结进步创建工作示范单位名单出炉，学院喜荣获2019年度“贵州省民族团结进步创建工作示范学校”。这是学院继国务院全国民族团结进步先进集体、全国民族团结进步模范单位、民族团结进步模范单位和贵州省民族团结进步先进集...,2019/9/17
我院参加贵阳市宠物诊疗行业自律协会成立大会,为进一步深入校企合作育人，深化产教融合，我院积极探索合作育人机制，积极参与宠物行业活动。9月8日-9月9日。应贵阳市宠物诊疗行业自律协会邀请，现代山地农业系选派畜牧兽医专业老师杨均、杨敬代表我院参加贵阳市宠物诊疗行业自律协会成立大会。本次大会邀请了中国农...,2019/9/10
罗俊书记深入一线指导安保工作,8月30日上午，学院党委书记罗俊亲临一线指导安保工作。罗俊书记向晨练的保安人员讲解了当前国际国内发展形势，讲述国家日趋强大过程中各行业安全工作的重要性。罗俊书记指出，保安人员是黔南职院的一员，一言一行均代表着学院的形象，工作中要保持“责任心、爱心、耐心...,2019/8/31
学生处、团委召开2019—2020学年度第一学期工作部署会,根据学院本学期工作会议精神，学生处、团委于8月17日在知行楼第二会议室召开2019—2020学年度第一学期工作部署会议。会上，学生处处长、院团委书记潘奇同志通过回顾近两年来取得的系列可圈可点的工作业绩，强调干事创业必须转变观念，勇于打破习惯过去思维，敢于创新。...,2019/8/19
我院组织毕业生到贵州毋敛古风博物院管理有限公司考察和面试,为多形式，多渠道做好毕业生就业工作，应独山县人力资源和社会保障局邀请，7月5日上午招生就业处蒙明洲副主任、管理系林裕辉副主任组织带领该系2020届旅游管理、文秘、人力资源管理3个专业近20名毕业生到贵州毋敛古风博物院管理有限公司考察和面试。贵州毋敛古风博物院...,2019/7/6
建筑工程与设计系开展缅怀革命烈士主题教育活动,6月27日，建筑工程与设计系党总支开展组织活动，系党员教师、学生党员及入党积极分子在系党总支书记杨明凯带领下，参观都匀市烈士陵园，缅怀革命先烈。杨明凯书记为参加活动的师生讲解了都匀烈士陵园的历史和与其相关的党的历史，勉励广大青年要向英雄学习，传承奉献精...,2019/6/28
饶辉院长率队到三都县中和镇新阳村调研扶贫,2019年6日21日，学院党委副书记院长饶辉及党委副书记韦永革，副院长王焱等一行五人，深入到我院扶贫点---三都县中和镇新阳村调研扶贫工作并慰问困难老党员。上午11点，院领导来到了新阳村村委会，与扶贫队长莫华健等村干部进行座谈，了解新阳村当前脱贫攻坚最新情况和脱...,2019/6/22
崇德尚技  知行合一,为落实教育部和省厅关于传统文化学习与传承十相关文件精神，践行“崇德尚技 知行合一”育人理念，近日，建筑系党总支组织10名入党积极分子到丹寨县开展为期三天的蜡染工艺及技能实训学习。本次活动由王丽、孙海洋、杨光老师带队。同学们首先到丹寨万达小镇参观蜡染作品...,2019/6/17
强基固本  砥砺前行,为了进一步加强入党积极分子思想理论教育，提高入党积极分子理论水平，确保新党员发展质量。6月3日晚，建筑系党总支组织入党积极分子观看专题片《不忘初心，继续前行》。通过观看专题片，使入党积极分子更深刻了解中国共产党全心全意为人民服务的精神，对党的性质、纲领...,2019/6/4
